MajorName,Concentration,Freshman,Sophomore,Junior,Senior,NdegUgrad,TotalUgrad,Grad1,Grad2,NdegGrad,TotalGrad,Professional,TotalStudents
Agricultural Production,Professional Science Masters,        0,        0,        0,        0,        0,        0,        8,        0,        0,        8,        0,        8
Bioprocessing and Bioenergy,Professional Science Masters,        0,        0,        0,        0,        0,        0,        7,        0,        0,        7,        0,        7
Agric Leadership & Sci Educ,Agricultural Science Education,        0,        3,        2,        6,        0,       11,        0,        0,        0,        0,        0,       11
Agric Leadership & Sci Educ,Agricultural Leadership Educ,        0,        4,        2,        4,        0,       10,        0,        0,        0,        0,        0,       10
"Ag Ldrship, Ed & Communication",Agricultural Education,        6,        6,       13,        0,        0,       25,        0,        0,        0,        0,        0,       25
"Ag Ldrship, Ed & Communication",Org & Community Leadership,        4,        1,        2,        8,        0,       15,        0,        0,        0,        0,        0,       15
"Ag Ldrship, Ed & Communication",Ag Communications-Advertising,        6,       10,        8,        1,        0,       25,        0,        0,        0,        0,        0,       25
"Ag Ldrship, Ed & Communication",Ag Communications-Journalism,        4,        0,        1,        0,        0,        5,        0,        0,        0,        0,        0,        5
Agricultural Education, ,        0,        0,        0,        0,        0,        0,       12,        0,        0,       12,        0,       12
Agricultural Education, ,        0,        0,        0,        0,        0,        0,       23,        0,        0,       23,        0,       23
Agricultural Communications,Advertising,        0,        8,       14,        6,        0,       28,        0,        0,        0,        0,        0,       28
Agricultural Communications,Journalism,        0,        1,        1,        3,        0,        5,        0,        0,        0,        0,        0,        5
Agr & Consumer Economics,Agri-Accounting,        7,       15,       14,       16,        0,       52,        0,        0,        0,        0,        0,       52
Agr & Consumer Economics,Farm Management,        1,        2,        5,        5,        0,       13,        0,        0,        0,        0,        0,       13
Agr & Consumer Economics,Agribusiness Markets & Mgmt,       31,       27,       46,       30,        0,      134,        0,        0,        0,        0,        0,      134
Agr & Consumer Economics,Agribusiness Markets & Mgmt,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Agr & Consumer Economics,Consumer Economics & Finance,       19,       42,       57,       45,        0,      163,        0,        0,        0,        0,        0,      163
Agr & Consumer Economics,Envirnmntal Economics & Policy,       13,       12,        9,       10,        0,       44,        0,        0,        0,        0,        0,       44
Agr & Consumer Economics,"Policy, Intl Trade, & Dvlpmt",        7,        1,        8,       14,        0,       30,        0,        0,        0,        0,        0,       30
Agr & Consumer Economics,Public Policy and Law,       30,       20,       14,       16,        0,       80,        0,        0,        0,        0,        0,       80
Agr & Consumer Economics,Financial Planning,       21,       24,       44,       28,        0,      117,        0,        0,        0,        0,        0,      117
Agr & Consumer Economics,Finance in Agri-Business,        5,       13,       28,       30,        0,       76,        0,        0,        0,        0,        0,       76
Agricultural & Applied Econ, ,        0,        0,        0,        0,        0,        0,       22,        0,        0,       22,        0,       22
Agricultural & Applied Econ, ,        0,        0,        0,        0,        0,        0,        0,       65,        0,       65,        0,       65
Nondegree, ,        0,        0,        0,        0,      100,      100,        0,        0,        0,        0,        0,      100
ACES Undeclared, ,       53,       29,        7,        1,        0,       90,        0,        0,        0,        0,        0,       90
Animal Sciences,Companion Animal & Equine Sci,       14,        8,       20,       22,        0,       64,        0,        0,        0,        0,        0,       64
Animal Sciences,Companion Animal & Equine Sci,        0,        1,        1,        1,        0,        3,        0,        0,        0,        0,        0,        3
Animal Sciences,"Science, Pre-Vet Med and Med",      118,      109,      108,      135,        0,      470,        0,        0,        0,        0,        0,      470
Animal Sciences,"Science, Pre-Vet Med and Med",        0,        1,        0,        0,        0,        1,        0,        0,        0,        0,        0,        1
Animal Sciences,Food Animal Prod & Mgmt,        2,        2,        6,       11,        0,       21,        0,        0,        0,        0,        0,       21
Animal Sciences,Food Animal Prod & Mgmt,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Animal Sciences, ,        0,        0,        0,        0,        0,        0,        7,        0,        0,        7,        0,        7
Animal Sciences, ,        0,        0,        0,        0,        0,        0,       53,        0,        0,       53,        0,       53
Bioinformatics,Animal Science,        0,        0,        0,        0,        0,        0,        1,        0,        0,        1,        0,        1
Animal Sciences, ,        0,        0,        0,        0,        0,        0,        0,        0,       34,       34,        0,       34
Animal Sciences, ,        0,        0,        0,        0,        0,        0,        0,       37,        0,       37,        0,       37
Food Science & Human Nutrition,Food Science,       17,       18,       29,       48,        0,      112,        0,        0,        0,        0,        0,      112
Food Science & Human Nutrition,Food Science,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Food Science & Human Nutrition,Human Nutrition,       15,       12,       13,       17,        0,       57,        0,        0,        0,        0,        0,       57
Food Science & Human Nutrition,Dietetics,       18,       12,       18,       39,        0,       87,        0,        0,        0,        0,        0,       87
Food Science & Human Nutrition,Hospitality Management,        9,        8,       15,        9,        0,       41,        0,        0,        0,        0,        0,       41
Food Science & Human Nutrition, ,        0,        0,        0,        0,        0,        0,       52,        0,        0,       52,        0,       52
Food Science & Human Nutrition, ,        0,        0,        0,        0,        0,        0,        1,        0,        0,        1,        0,        1
Food Science & Human Nutrition,Food Science,        0,        0,        0,        0,        0,        0,       23,        0,        0,       23,        0,       23
Food Science & Human Nutrition,Human Nutrition,        0,        0,        0,        0,        0,        0,       15,        0,        0,       15,        0,       15
Food Science & Human Nutrition,Professional Science Masters,        0,        0,        0,        0,        0,        0,        7,        0,        0,        7,        0,        7
Food Science & Human Nutrition,Food Science,        0,        0,        0,        0,        0,        0,        0,       32,        0,       32,        0,       32
Food Science & Human Nutrition,Human Nutrition,        0,        0,        0,        0,        0,        0,        0,       17,        0,       17,        0,       17
Food Science, ,        0,        0,        0,        0,        0,        0,        0,        1,        0,        1,        0,        1
Technical Systems Management, ,       13,       24,       76,       80,        0,      193,        0,        0,        0,        0,        0,      193
Technical Systems Management, ,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Agricultural & Biological Engr, ,       19,       35,       13,        3,        0,       70,        0,        0,        0,        0,        0,       70
Technical Systems Management, ,        0,        0,        0,        0,        0,        0,        2,        0,        0,        2,        0,        2
Technical Systems Management,Professional Science Masters,        0,        0,        0,        0,        0,        0,        5,        0,        0,        5,        0,        5
Human Development & Family St,Child and Adolescent Dev,       39,       56,       42,       57,        0,      194,        0,        0,        0,        0,        0,      194
Human Development & Family St,Family Studies,        4,        9,       16,       30,        0,       59,        0,        0,        0,        0,        0,       59
Human Dvlpmt & Family Studies, ,        0,        0,        0,        0,        0,        0,        0,       30,        0,       30,        0,       30
Crop Sciences,Agroecology,        3,        1,        1,        3,        0,        8,        0,        0,        0,        0,        0,        8
Crop Sciences,Plant Protection,        0,        2,        1,        1,        0,        4,        0,        0,        0,        0,        0,        4
Crop Sciences,Crops,        3,        2,        6,        7,        0,       18,        0,        0,        0,        0,        0,       18
Crop Sciences,Crop Agribusiness,        3,        4,       10,       11,        0,       28,        0,        0,        0,        0,        0,       28
Crop Sciences,Plant Biotech & Molecular Bio,        6,        9,        7,       19,        0,       41,        0,        0,        0,        0,        0,       41
Crop Sciences,Biological Sciences,        1,        2,        3,        1,        0,        7,        0,        0,        0,        0,        0,        7
Crop Sciences,Horticultural Food Systems,        0,        0,        5,        6,        0,       11,        0,        0,        0,        0,        0,       11
Horticulture,Specialty Crops,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Computer Science&Crop Sciences, ,        3,        5,        1,        0,        0,        9,        0,        0,        0,        0,        0,        9
Computer Science&Crop Sciences, ,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Crop Sciences, ,        0,        0,        0,        0,        0,        0,       31,        0,        0,       31,        0,       31
Crop Sciences, ,        0,        0,        0,        0,        0,        0,       27,        0,        0,       27,        0,       27
Bioinformatics,Crop Science,        0,        0,        0,        0,        0,        0,        4,        0,        0,        4,        0,        4
Plant Biotechnology,Professional Science Masters,        0,        0,        0,        0,        0,        0,        1,        0,        0,        1,        0,        1
Horticulture, ,        0,        0,        0,        0,       10,       10,        0,        0,        0,        0,        0,       10
Crop Sciences, ,        0,        0,        0,        0,        0,        0,        0,       52,        0,       52,        0,       52
Natural Resrcs & Environ Sci,Fish and Wildlife Conservation,        1,        1,       13,       13,        0,       28,        0,        0,        0,        0,        0,       28
Natural Resrcs & Environ Sci,Fish and Wildlife Conservation,        0,        0,        0,        1,        0,        1,        0,        0,        0,        0,        0,        1
Natural Resrcs & Environ Sci,Humn Dimnsns of the Environmnt,       14,        8,       17,       27,        0,       66,        0,        0,        0,        0,        0,       66
